2025-10-25 22:40:16,415 | INFO | golden_backtest | #0001 🎯 SELL @ $3363.40 | P&L: $1.58 | Balance: $101.58 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.6✅ ADX:41.9✅
2025-10-25 22:40:16,419 | INFO | golden_backtest | #0002 🎯 SELL @ $3367.30 | P&L: $2.22 | Balance: $103.80 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.2✅ ADX:42.9✅
2025-10-25 22:40:16,423 | INFO | golden_backtest | #0003 🎯 SELL @ $3371.30 | P&L: $1.55 | Balance: $105.35 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:34.8✅ ADX:42.5✅
2025-10-25 22:40:16,427 | INFO | golden_backtest | #0004 🎯 SELL @ $3371.30 | P&L: $1.83 | Balance: $107.18 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:36.5✅ ADX:43.7✅
2025-10-25 22:40:16,435 | INFO | golden_backtest | #0005 🎯 SELL @ $3360.10 | P&L: $2.00 | Balance: $109.18 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:30.2✅ ADX:48.1✅
2025-10-25 22:40:16,438 | INFO | golden_backtest | #0006 🎯 SELL @ $3386.60 | P&L: $1.73 | Balance: $110.91 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:50.9✅ ADX:47.9✅
2025-10-25 22:40:16,442 | INFO | golden_backtest | #0007 🎯 SELL @ $3385.50 | P&L: $1.87 | Balance: $112.78 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:50.6✅ ADX:48.5✅
2025-10-25 22:40:16,446 | INFO | golden_backtest | #0008 🎯 SELL @ $3385.60 | P&L: $1.65 | Balance: $114.43 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:59.4✅ ADX:46.4✅
2025-10-25 22:40:16,453 | INFO | golden_backtest | #0009 🎯 SELL @ $3383.20 | P&L: $1.49 | Balance: $115.91 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:58.5✅ ADX:40.0✅
2025-10-25 22:40:16,458 | INFO | golden_backtest | #0010 🎯 SELL @ $3382.30 | P&L: $1.51 | Balance: $117.43 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:58.8✅ ADX:35.9✅
2025-10-25 22:40:16,484 | INFO | golden_backtest | #0011 🎯 SELL @ $3376.60 | P&L: $1.77 | Balance: $119.20 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:58.6✅ ADX:27.9✅
2025-10-25 22:40:16,491 | INFO | golden_backtest | #0012 🎯 SELL @ $3373.50 | P&L: $1.87 | Balance: $121.07 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:38.6✅ ADX:27.5✅
2025-10-25 22:40:16,495 | INFO | golden_backtest | #0013 🎯 SELL @ $3371.50 | P&L: $1.70 | Balance: $122.77 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:38.1✅ ADX:27.1✅
2025-10-25 22:40:16,499 | INFO | golden_backtest | #0014 🎯 SELL @ $3372.50 | P&L: $2.21 | Balance: $124.98 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:39.0✅ ADX:27.3✅
2025-10-25 22:40:16,503 | INFO | golden_backtest | #0015 🎯 SELL @ $3372.80 | P&L: $1.96 | Balance: $126.94 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:37.1✅ ADX:27.2✅
2025-10-25 22:40:16,506 | INFO | golden_backtest | #0016 🎯 SELL @ $3377.20 | P&L: $1.60 | Balance: $128.54 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:44.8✅ ADX:25.9✅
2025-10-25 22:40:16,510 | INFO | golden_backtest | #0017 🎯 SELL @ $3382.10 | P&L: $2.14 | Balance: $130.68 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:49.8✅ ADX:25.8✅
2025-10-25 22:40:16,514 | INFO | golden_backtest | #0018 🎯 SELL @ $3383.30 | P&L: $2.21 | Balance: $132.89 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:51.5✅ ADX:23.9✅
2025-10-25 22:40:16,569 | INFO | golden_backtest | #0019 🎯 SELL @ $3366.20 | P&L: $2.15 | Balance: $135.04 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:36.7✅ ADX:21.1✅
2025-10-25 22:40:16,573 | INFO | golden_backtest | #0020 🎯 SELL @ $3366.40 | P&L: $2.32 | Balance: $137.36 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:44.9✅ ADX:22.2✅
2025-10-25 22:40:16,617 | INFO | golden_backtest | #0021 🎯 SELL @ $3326.90 | P&L: $2.36 | Balance: $139.71 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:31.1✅ ADX:75.3✅
2025-10-25 22:40:16,621 | INFO | golden_backtest | #0022 🎯 SELL @ $3332.60 | P&L: $2.01 | Balance: $141.73 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.4✅ ADX:74.9✅
2025-10-25 22:40:16,625 | INFO | golden_backtest | #0023 🎯 SELL @ $3332.10 | P&L: $1.63 | Balance: $143.36 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:32.1✅ ADX:76.5✅
2025-10-25 22:40:16,629 | INFO | golden_backtest | #0024 🎯 SELL @ $3331.40 | P&L: $2.40 | Balance: $145.75 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:33.2✅ ADX:76.6✅
2025-10-25 22:40:16,633 | INFO | golden_backtest | #0025 🎯 SELL @ $3337.80 | P&L: $2.34 | Balance: $148.09 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:45.0✅ ADX:74.1✅
2025-10-25 22:40:16,636 | INFO | golden_backtest | #0026 🎯 SELL @ $3338.50 | P&L: $1.67 | Balance: $149.76 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:50.8✅ ADX:70.2✅
2025-10-25 22:40:16,640 | INFO | golden_backtest | #0027 🎯 SELL @ $3335.60 | P&L: $1.55 | Balance: $151.31 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:44.2✅ ADX:65.7✅
2025-10-25 22:40:16,644 | INFO | golden_backtest | #0028 🎯 SELL @ $3338.00 | P&L: $1.95 | Balance: $153.26 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:47.5✅ ADX:61.5✅
2025-10-25 22:40:16,648 | INFO | golden_backtest | #0029 🎯 SELL @ $3340.60 | P&L: $1.96 | Balance: $155.21 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:56.5✅ ADX:55.7✅
2025-10-25 22:40:16,651 | INFO | golden_backtest | #0030 🎯 SELL @ $3348.80 | P&L: $1.54 | Balance: $156.75 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:57.1✅ ADX:49.9✅
2025-10-25 22:40:16,655 | INFO | golden_backtest | #0031 🎯 SELL @ $3343.80 | P&L: $1.59 | Balance: $158.34 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:56.5✅ ADX:44.4✅
2025-10-25 22:40:16,681 | INFO | golden_backtest | #0032 🎯 SELL @ $3338.70 | P&L: $1.81 | Balance: $160.15 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:58.6✅ ADX:36.5✅
2025-10-25 22:40:16,685 | INFO | golden_backtest | #0033 🎯 SELL @ $3338.10 | P&L: $1.75 | Balance: $161.90 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:50.4✅ ADX:36.3✅
2025-10-25 22:40:16,689 | INFO | golden_backtest | #0034 🎯 SELL @ $3336.70 | P&L: $1.48 | Balance: $163.38 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:47.6✅ ADX:36.6✅
2025-10-25 22:40:16,693 | INFO | golden_backtest | #0035 🎯 SELL @ $3334.40 | P&L: $2.20 | Balance: $165.58 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:48.4✅ ADX:36.0✅
2025-10-25 22:40:16,696 | INFO | golden_backtest | #0036 🎯 SELL @ $3328.20 | P&L: $1.47 | Balance: $167.05 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:37.9✅ ADX:34.1✅
2025-10-25 22:40:16,700 | INFO | golden_backtest | #0037 🎯 SELL @ $3337.50 | P&L: $2.19 | Balance: $169.24 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:46.7✅ ADX:33.8✅
2025-10-25 22:40:16,704 | INFO | golden_backtest | #0038 🎯 SELL @ $3339.20 | P&L: $1.76 | Balance: $171.00 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:38.2✅ ADX:34.4✅
2025-10-25 22:40:16,708 | INFO | golden_backtest | #0039 🎯 SELL @ $3348.60 | P&L: $2.06 | Balance: $173.06 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:55.3✅ ADX:34.5✅
2025-10-25 22:40:16,712 | INFO | golden_backtest | #0040 🎯 SELL @ $3342.20 | P&L: $2.24 | Balance: $175.30 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:49.9✅ ADX:32.5✅
2025-10-25 22:40:16,715 | INFO | golden_backtest | #0041 🎯 SELL @ $3345.60 | P&L: $2.17 | Balance: $177.47 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:54.1✅ ADX:28.6✅
2025-10-25 22:40:16,719 | INFO | golden_backtest | #0042 🎯 SELL @ $3348.20 | P&L: $1.61 | Balance: $179.08 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:52.8✅ ADX:24.6✅
2025-10-25 22:40:16,723 | INFO | golden_backtest | #0043 🎯 SELL @ $3346.40 | P&L: $2.07 | Balance: $181.15 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:50.6✅ ADX:20.9✅
2025-10-25 22:40:16,782 | INFO | golden_backtest | #0044 🎯 SELL @ $3337.90 | P&L: $2.05 | Balance: $183.19 | Reason: Golden Trend SELL: EMA Stack✅ MACD-✅ RSI:38.7✅ ADX:33.5✅
