2025-10-26 15:15:43,901 | INFO | golden_backtest | #0001 🎯 SELL @ $3363.27 | P&L: $-76.02 | Balance: $9923.98 | Reason: SL Hit
2025-10-26 15:15:43,907 | INFO | golden_backtest | #0002 🎯 SELL @ $3367.53 | P&L: $-70.56 | Balance: $9853.42 | Reason: SL Hit
2025-10-26 15:15:43,913 | INFO | golden_backtest | #0003 🎯 SELL @ $3370.96 | P&L: $-71.66 | Balance: $9781.76 | Reason: SL Hit
2025-10-26 15:16:24,102 | INFO | golden_backtest | #0001 🎯 SELL @ $3363.27 | P&L: $-76.02 | Balance: $9923.98 | Reason: SL Hit
2025-10-26 15:16:24,107 | INFO | golden_backtest | #0002 🎯 SELL @ $3367.53 | P&L: $-70.56 | Balance: $9853.42 | Reason: SL Hit
2025-10-26 15:16:24,113 | INFO | golden_backtest | #0003 🎯 SELL @ $3370.96 | P&L: $-71.66 | Balance: $9781.76 | Reason: SL Hit
2025-10-26 15:16:52,009 | INFO | golden_backtest | #0001 🎯 SELL @ $3363.27 | P&L: $-76.02 | Balance: $9923.98 | Reason: SL Hit
2025-10-26 15:16:52,015 | INFO | golden_backtest | #0002 🎯 SELL @ $3367.53 | P&L: $-70.56 | Balance: $9853.42 | Reason: SL Hit
2025-10-26 15:16:52,020 | INFO | golden_backtest | #0003 🎯 SELL @ $3370.96 | P&L: $-71.66 | Balance: $9781.76 | Reason: SL Hit
2025-10-26 15:17:29,828 | INFO | golden_backtest | #0001 🎯 SELL @ $3363.27 | P&L: $-76.02 | Balance: $9923.98 | Reason: SL Hit
2025-10-26 15:17:29,834 | INFO | golden_backtest | #0002 🎯 SELL @ $3367.53 | P&L: $-70.56 | Balance: $9853.42 | Reason: SL Hit
2025-10-26 15:17:29,839 | INFO | golden_backtest | #0003 🎯 SELL @ $3370.96 | P&L: $-71.66 | Balance: $9781.76 | Reason: SL Hit
2025-10-26 15:22:28,853 | INFO | golden_backtest | #0001 🎯 BUY @ $3360.27 | P&L: $-60.79 | Balance: $9939.21 | Reason: SL Hit
2025-10-26 15:22:29,237 | INFO | golden_backtest | #0002 🎯 SELL @ $3315.95 | P&L: $99.29 | Balance: $10038.50 | Reason: TP Hit
2025-10-26 15:22:29,270 | INFO | golden_backtest | #0003 🎯 SELL @ $3300.63 | P&L: $-64.55 | Balance: $9973.95 | Reason: SL Hit
2025-10-26 15:22:29,909 | INFO | golden_backtest | #0004 🎯 BUY @ $3352.02 | P&L: $-71.93 | Balance: $9902.02 | Reason: SL Hit
